Date,Open,High,Low,Close*,Adj. close**,Volume
2020-04-16,"2,799.34","2,806.51","2,764.32","2,799.55","2,799.55","5,17,99,90,000"
2020-04-15,"2,795.64","2,801.88","2,761.54","2,783.36","2,783.36","5,20,33,90,000"
2020-04-14,"2,805.10","2,851.85","2,805.10","2,846.06","2,846.06","5,56,74,00,000"
2020-04-13,"2,782.46","2,782.46","2,721.17","2,761.63","2,761.63","5,27,43,10,000"
2020-04-09,"2,776.99","2,818.57","2,762.36","2,789.82","2,789.82","7,88,01,40,000"
2020-04-08,"2,685.00","2,760.75","2,663.30","2,749.98","2,749.98","5,85,63,70,000"
2020-04-07,"2,738.65","2,756.89","2,657.67","2,659.41","2,659.41","7,04,07,20,000"
2020-04-06,"2,578.28","2,676.85","2,574.57","2,663.68","2,663.68","6,39,18,60,000"
2020-04-03,"2,514.92","2,538.18","2,459.96","2,488.65","2,488.65","6,08,71,90,000"
2020-04-02,"2,458.54","2,533.22","2,455.79","2,526.90","2,526.90","6,45,49,90,000"
2020-04-01,"2,498.08","2,522.75","2,447.49","2,470.50","2,470.50","5,94,79,00,000"
2020-03-31,"2,614.69","2,641.39","2,571.15","2,584.59","2,584.59","6,56,82,90,000"
2020-03-30,"2,558.98","2,631.80","2,545.28","2,626.65","2,626.65","5,74,62,20,000"
2020-03-27,"2,555.87","2,615.91","2,520.02","2,541.47","2,541.47","6,19,43,30,000"
2020-03-26,"2,501.29","2,637.01","2,500.72","2,630.07","2,630.07","7,75,31,60,000"
2020-03-25,"2,457.77","2,571.42","2,407.53","2,475.56","2,475.56","8,28,56,70,000"
2020-03-24,"2,344.44","2,449.71","2,344.44","2,447.33","2,447.33","7,54,73,50,000"
2020-03-23,"2,290.71","2,300.73","2,191.86","2,237.40","2,237.40","7,40,21,80,000"
2020-03-20,"2,431.94","2,453.01","2,295.56","2,304.92","2,304.92","9,04,46,90,000"
2020-03-19,"2,393.48","2,466.97","2,319.78","2,409.39","2,409.39","7,94,67,10,000"
